productId,slug,familyName,canonicalProductName,strength,vialSizeMl,finishedSizeInches,pixelSizeAt600Dpi,png,pdf,archived,storefrontVisible
cmp1x0zo3002cbot9hk820efe,kisspeptin-10-5mg,KissPeptin-10,KissPeptin-10,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/KissPeptin-10 5mg - 3mL Label.png,3ml/pdf/KissPeptin-10 5mg - 3mL Label.pdf,False,True
cmp1wfee60006101lq2ecn8gc,kisspeptin-10-10mg,KissPeptin-10,KissPeptin-10,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/KissPeptin-10 10mg - 3mL Label.png,3ml/pdf/KissPeptin-10 10mg - 3mL Label.pdf,False,True
cmp1x105u002xbot93onan8km,lc120-10ml,LC120,LC120,10ml,10,2.5 x 1.25,1500 x 750,10ml/png/LC120 10ml - 10mL Label.png,10ml/pdf/LC120 10ml - 10mL Label.pdf,True,False
cmp1x106d002ybot964huurl2,lc216-10ml,LC216,LC216,10ml,10,2.5 x 1.25,1500 x 750,10ml/png/LC216 10ml - 10mL Label.png,10ml/pdf/LC216 10ml - 10mL Label.pdf,True,False
cmp1x0zce001lbot91kgw4msa,ll37-5mg,LL37,LL37,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/LL37 5mg - 3mL Label.png,3ml/pdf/LL37 5mg - 3mL Label.pdf,False,True
cmp1x104x002vbot9d1ys0vok,lemon-bottle-10ml,Lemon Bottle,Lemon Bottle,10ml,10,2.5 x 1.25,1500 x 750,10ml/png/Lemon Bottle 10ml - 10mL Label.png,10ml/pdf/Lemon Bottle 10ml - 10mL Label.pdf,True,False
cmp1x0z680018bot9mihrv6te,mots-c-10mg,MOTS-c,MOTS-c,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/MOTS-c 10mg - 3mL Label.png,3ml/pdf/MOTS-c 10mg - 3mL Label.pdf,False,True
cmp1x0z6q0019bot9086qpl6w,mots-c-40mg,MOTS-c,MOTS-c,40mg,3,1.75 x 0.75,1050 x 450,3ml/png/MOTS-c 40mg - 3mL Label.png,3ml/pdf/MOTS-c 40mg - 3mL Label.pdf,False,True
cmp1x0zme0028bot9o66nweef,mt-2-10mg,MT-2,MT-2,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/MT-2 10mg - 3mL Label.png,3ml/pdf/MT-2 10mg - 3mL Label.pdf,False,True
cmp1x0zmn0029bot9h5g1bxxa,mt1-5mg,MT1,MT1,5mg (1 vial),3,1.75 x 0.75,1050 x 450,3ml/png/MT1 5mg - 3mL Label.png,3ml/pdf/MT1 5mg - 3mL Label.pdf,True,False
cmp1x0yyn000sbot912ng7871,mazdutide-10mg,Mazdutide,Mazdutide,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/Mazdutide 10mg - 3mL Label.png,3ml/pdf/Mazdutide 10mg - 3mL Label.pdf,False,True
cmp1x0z1i000ybot94euhsqur,nad-plus-100mg,NAD+,NAD+,100mg,10,2.5 x 1.25,1500 x 750,10ml/png/NAD+ 100mg - 10mL Label.png,10ml/pdf/NAD+ 100mg - 10mL Label.pdf,False,True
cmp1wfecv0003101lvnslbrnz,nad-plus-500mg,NAD+,NAD+,500mg,10,2.5 x 1.25,1500 x 750,10ml/png/NAD+ 500mg - 10mL Label.png,10ml/pdf/NAD+ 500mg - 10mL Label.pdf,False,True
cmp1x0zq6002fbot9oxqghmhz,oxytocin-10mg,Oxytocin,Oxytocin,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/Oxytocin 10mg - 3mL Label.png,3ml/pdf/Oxytocin 10mg - 3mL Label.pdf,False,True
cmp1x0zpe002ebot9p888h38a,oxytocin-2mg,Oxytocin,Oxytocin,2mg,3,1.75 x 0.75,1050 x 450,3ml/png/Oxytocin 2mg - 3mL Label.png,3ml/pdf/Oxytocin 2mg - 3mL Label.pdf,False,True
cmp1x109a0034bot9p8bb13zt,pnc-27-5mg,PNC 27,PNC 27,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/PNC 27 5mg - 3mL Label.png,3ml/pdf/PNC 27 5mg - 3mL Label.pdf,False,True
cmp1x109m0035bot98ygrfci5,pnc-27-10mg,PNC 27,PNC 27,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/PNC 27 10mg - 3mL Label.png,3ml/pdf/PNC 27 10mg - 3mL Label.pdf,False,True
cmp1wfef20008101l80sbtq6i,pt-141-10mg,PT-141,PT-141,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/PT-141 10mg - 3mL Label.png,3ml/pdf/PT-141 10mg - 3mL Label.pdf,False,True
cmp1x0z4t0015bot9ermpkjm2,pinealon-5mg,Pinealon,Pinealon,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/Pinealon 5mg - 3mL Label.png,3ml/pdf/Pinealon 5mg - 3mL Label.pdf,False,True
cmp1x0z5r0017bot9y0p5b3xq,pinealon-20mg,Pinealon,Pinealon,20mg,3,1.75 x 0.75,1050 x 450,3ml/png/Pinealon 20mg - 3mL Label.png,3ml/pdf/Pinealon 20mg - 3mL Label.pdf,False,True
cmp1x0z5a0016bot9k3bsj58e,pinealon-10mg,Pinealon,Pinealon,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/Pinealon 10mg - 3mL Label.png,3ml/pdf/Pinealon 10mg - 3mL Label.pdf,False,True
cmp1x0yty000ibot9edhsvf3y,retatrutide-30mg,Retatrutide,Retatrutide,30mg,3,1.75 x 0.75,1050 x 450,3ml/png/Retatrutide 30mg - 3mL Label.png,3ml/pdf/Retatrutide 30mg - 3mL Label.pdf,False,True
cmp1x0yue000jbot9zyegtcgd,retatrutide-36mg,Retatrutide,Retatrutide,36mg,3,1.75 x 0.75,1050 x 450,3ml/png/Retatrutide 36mg - 3mL Label.png,3ml/pdf/Retatrutide 36mg - 3mL Label.pdf,False,True
